algorithm,time
merge1,0.022515296936035156
partition_sort,0.011002779006958008
qs1,0.016095876693725586
qs2,0.02390122413635254
qs3,0.021999120712280273
qs4,0.026099443435668945
qs5,0.020509958267211914
merge1,0.02299952507019043
partition_sort,0.009000301361083984
qs1,0.014999866485595703
qs2,0.021004915237426758
qs3,0.022526979446411133
qs4,0.025982141494750977
qs5,0.02100205421447754
merge1,0.0229341983795166
partition_sort,0.00947260856628418
qs1,0.017220497131347656
qs2,0.024496078491210938
qs3,0.024007558822631836
qs4,0.025183677673339844
qs5,0.022475004196166992
merge1,0.023658275604248047
partition_sort,0.01000070571899414
qs1,0.01700901985168457
qs2,0.02191162109375
qs3,0.0230100154876709
qs4,0.023088693618774414
qs5,0.01999950408935547
merge1,0.02200007438659668
partition_sort,0.010001420974731445
qs1,0.015004158020019531
qs2,0.021511554718017578
qs3,0.02099776268005371
qs4,0.022000551223754883
qs5,0.018001079559326172
merge1,0.02100372314453125
partition_sort,0.009506464004516602
qs1,0.015000581741333008
qs2,0.021999597549438477
qs3,0.020000219345092773
qs4,0.02000141143798828
qs5,0.017002582550048828
merge1,0.02016448974609375
partition_sort,0.009000301361083984
qs1,0.013016223907470703
qs2,0.019985437393188477
qs3,0.020998477935791016
qs4,0.0200040340423584
qs5,0.017525196075439453
